"company","batch","yc_url"
"Crustdata","F24","https://www.ycombinator.com/companies/crustdata"
"Curo","F24","https://www.ycombinator.com/companies/curo"
"Durate","F24","https://www.ycombinator.com/companies/durate"
"FutureClinic","F24","https://www.ycombinator.com/companies/futureclinic"
"Getcho","F24","https://www.ycombinator.com/companies/getcho"
"Karmen","F24","https://www.ycombinator.com/companies/karmen"
"Lightscreen AI","F24","https://www.ycombinator.com/companies/lightscreen-ai"
"Loombotic","F24","https://www.ycombinator.com/companies/loombotic"
"Origami","F24","https://www.ycombinator.com/companies/origami-2"
"Ryvn","F24","https://www.ycombinator.com/companies/ryvn"
"Smooth","F24","https://www.ycombinator.com/companies/smooth"
"Sunset","F24","https://www.ycombinator.com/companies/sunset"
"Surge","F24","https://www.ycombinator.com/companies/surge"
"Vaya","F24","https://www.ycombinator.com/companies/vaya"
"A1Zap by A1Base","W25","https://www.ycombinator.com/companies/a1zap-by-a1base"
"Altrina","W25","https://www.ycombinator.com/companies/altrina"
"Amby Health","W25","https://www.ycombinator.com/companies/amby-health"
"Archon","W25","https://www.ycombinator.com/companies/archon"
"Artifact","W25","https://www.ycombinator.com/companies/artifact-2"
"AthenaHQ","W25","https://www.ycombinator.com/companies/athenahq"
"Axiom","W25","https://www.ycombinator.com/companies/axiom"
"Bild AI","W25","https://www.ycombinator.com/companies/bild-ai"
"Bindwell","W25","https://www.ycombinator.com/companies/bindwell"
"BlindPay","W25","https://www.ycombinator.com/companies/blindpay"
"Bud","W25","https://www.ycombinator.com/companies/bud"
"Bystreet","W25","https://www.ycombinator.com/companies/bystreet"
"Conntour","W25","https://www.ycombinator.com/companies/conntour"
"Corsair","W25","https://www.ycombinator.com/companies/corsair"
"Egress Health","W25","https://www.ycombinator.com/companies/egress-health"
"Exin Therapeutics","W25","https://www.ycombinator.com/companies/exin-therapeutics"
"Fira","W25","https://www.ycombinator.com/companies/fira"
"Forge Automation","W25","https://www.ycombinator.com/companies/forge-automation"
"Fuse AI","W25","https://www.ycombinator.com/companies/fuse-ai"
"Hey Telo","W25","https://www.ycombinator.com/companies/hey-telo"
"Infinite","W25","https://www.ycombinator.com/companies/infinite"
"Instinct Space","W25","https://www.ycombinator.com/companies/instinct-space"
"Inversion Semiconductor","W25","https://www.ycombinator.com/companies/inversion-semiconductor"
"Invo","W25","https://www.ycombinator.com/companies/invo"
"Karoo","W25","https://www.ycombinator.com/companies/karoo"
"Karsa","W25","https://www.ycombinator.com/companies/karsa"
"Liquid Compute","W25","https://www.ycombinator.com/companies/liquid-compute"
"Lucid","W25","https://www.ycombinator.com/companies/lucid"
"Macadamia","W25","https://www.ycombinator.com/companies/macadamia"
"Maritime Fusion","W25","https://www.ycombinator.com/companies/maritime-fusion"
"Mercura","W25","https://www.ycombinator.com/companies/mercura"
"Misprint","W25","https://www.ycombinator.com/companies/misprint"
"OpenIntake","W25","https://www.ycombinator.com/companies/openintake"
"Operand","W25","https://www.ycombinator.com/companies/operand"
"Orbital Operations","W25","https://www.ycombinator.com/companies/orbital-operations"
"Paragon","W25","https://www.ycombinator.com/companies/deployparagon"
"Paratus Health","W25","https://www.ycombinator.com/companies/paratus-health"
"Pave Robotics","W25","https://www.ycombinator.com/companies/pave-robotics"
"PAX Markets","W25","https://www.ycombinator.com/companies/pax-markets"
"Peppr AI","W25","https://www.ycombinator.com/companies/peppr-ai"
"Red Barn Robotics","W25","https://www.ycombinator.com/companies/red-barn-robotics"
"Reditus Space","W25","https://www.ycombinator.com/companies/reditus-space"
"ReJot","W25","https://www.ycombinator.com/companies/rejot"
"Retrofit","W25","https://www.ycombinator.com/companies/retrofit"
